Date,Open,High,Low,Close,tick_volume,RSI,Williams_%R,WMA,HMA,EMA,SMA,TEMA,CCI,CMO,MACD,PPO,ROC,DMI,MFI
1987-07-14,1.059,1.0617,1.0573,1.0587,851,35.75909817934418,-91.02564102564062,1.0725259607843136,1.0607619941822883,1.0731116881740905,1.079492,1.0627350537677773,-102.34700973574404,-51.57894736841967,-0.00503523825377461,-0.47106301465504596,-1.139228686151834,18.783299969343318,39.055191875051904
1987-07-15,1.0656,1.0684,1.0601,1.0656,1661,45.882210734471535,-46.79487179487074,1.0719811764705882,1.0600798724412843,1.0728171121672636,1.078684,1.0624235575797842,-3.50336862367563,-12.658227848100278,-0.0045246078165945836,-0.4233889740202391,-0.31805425631429823,18.124961833191936,55.59639260241992
1987-07-16,1.065,1.0659,1.0643,1.0649,311,45.10566478750348,-51.282051282051135,1.0714406274509805,1.0595909103641457,1.0725066371803123,1.077928,1.0620723964767582,12.660887838191558,-19.354838709676933,-0.004128819208358392,-0.3864540004899972,-0.504531439783245,17.513647849622796,57.09995175806725
1987-07-17,1.0532,1.0555,1.0524,1.0533,611,34.642248069600186,-95.60975609756144,1.0704748235294117,1.0589629235078648,1.0717534357222607,1.076986,1.0604519375565793,-193.5869825317028,-38.57493857493789,-0.004697032473035101,-0.4400985963509252,-1.5975336322870064,18.43219656314349,54.313967980663975
1987-07-20,1.0507,1.0512,1.0504,1.0507,161,32.805341613256985,-98.66666666666681,1.069444,1.0581593098470157,1.070927810791976,1.07614,1.0586783049635735,-200.21834061135135,-46.66666666666603,-0.00529609377757656,-0.496800220185623,-1.6382699868938466,19.48396005830159,49.50504501621924
1987-07-21,1.0493999999999999,1.0516,1.0483,1.0493999999999999,661,31.894686360810994,-94.76190476190531,1.0683953725490196,1.0571952949795302,1.0700835829177808,1.07536,1.0569116495448927,-175.71703319675893,-48.61111111111052,-0.005808793161162118,-0.5455247898918683,-1.2886840372495576,20.667099901757503,38.852894783313374
1987-07-22,1.05,1.0509,1.0493,1.0499,311,32.668857102637105,-92.03980099502465,1.0673969411764705,1.0561279228614522,1.0692920698621815,1.074492,1.0553563946510123,-131.6546762589932,-44.096385542167596,-0.006104397599456579,-0.5738812473973154,-1.1672785465499356,21.765729756395135,44.08140552786572
1987-07-23,1.0539,1.0541,1.0531,1.0539,201,38.6746513935121,-72.13930348258683,1.0665894117647057,1.0551097285067874,1.0686884592793509,1.073736,1.0543933655307915,-64.976461132163,-22.77227722772197,-0.005947342414651002,-0.5594982985917566,-0.9119969913501355,22.09584950336726,45.786070473555995
1987-07-24,1.0548,1.0552,1.0544,1.0549,151,40.11283040436152,-67.16417910447792,1.0658507450980392,1.0541788625296271,1.068147735386043,1.072946,1.053638572974763,-41.93475408352644,-18.22660098522147,-0.005676745418981,-0.5343425746593444,-0.59366754617414,22.171160058336433,49.82267395256798
1987-07-27,1.0546,1.0552,1.054,1.0543,211,39.51405975124693,-70.14925373134326,1.0651195294117646,1.053349658694247,1.0676046869395313,1.072034,1.0528954770612042,-38.956805215972,-23.308270676691528,-0.0054479102181685946,-0.5130917407345932,-0.9209660746170502,22.295604175712977,47.33385966802967
1987-07-28,1.0529,1.0529,1.0526,1.0528,51,37.98740268636022,-77.61194029850773,1.0643652549019609,1.0526027644904117,1.0670241109811183,1.0710979999999999,1.0520616982250737,-54.84428257926061,-21.538461538461117,-0.0053261970526525815,-0.5019431159329939,-0.7447911756387309,22.60725059646049,50.05673047630947
1987-07-29,1.0529,1.0529,1.0524,1.0529,101,38.158940624108304,-77.11442786069684,1.0636516078431373,1.0519343688860157,1.0664702242759763,1.070158,1.0513254933495093,-48.846534395667476,-30.9392265193369,-0.005162163124653896,-0.4867636548711645,-0.7353634392382417,22.925555419653087,45.62487949498128
1987-07-30,1.0531,1.0538,1.0518,1.0533,381,38.88715200334116,-75.12437810945327,1.0629905098039214,1.0513509041154923,1.0659537448926046,1.0691540000000002,1.0507136075747847,-40.207942730527385,-22.289156626506017,-0.004942909612693169,-0.4663239993893068,-0.5100595069424834,22.98464942524853,50.278689479867545
1987-07-31,1.0526,1.0541,1.0519,1.0526,441,38.042890893897344,-78.60696517412951,1.0623413333333334,1.0508136916612798,1.0654300686223064,1.068196,1.0500922804310238,-37.45136186770329,-23.89380530973432,-0.004770640797194581,-0.4503038394300169,-1.2199699699699813,22.957611943178176,49.56123683882642
1987-08-03,1.0498,1.0514000000000001,1.049,1.0496,461,34.57808084795924,-93.53233830845733,1.0616120784313727,1.0502281475975006,1.06480928161751,1.067188,1.0492022617968733,-86.97872340425364,-26.074498567334803,-0.00482062231442848,-0.45533448681736527,-1.4367546248473912,23.418864900072858,52.987971822989515
1987-08-04,1.0357,1.0391,1.0339,1.0358,1031,23.82758559805336,-94.06249999999997,1.0603811764705884,1.049220808877397,1.0636716627305491,1.066216,1.046843070279435,-310.35078969243926,-71.29186602870816,-0.005905700456826146,-0.558721304791925,-1.6614449824361388,25.512761993438538,26.79877907640956
1987-08-05,1.0409,1.0417,1.0394,1.041,451,32.36118963328899,-67.12962962963026,1.0593923137254901,1.048046882568412,1.0627825779175863,1.065526,1.0452775720853478,-179.35175579239,-51.619870410367476,-0.006273716660051498,-0.5942046422553641,-0.9231940611021264,26.827370137966607,28.645815507116737
1987-08-06,1.0381,1.0381,1.0381,1.0381,1,30.32105683387215,-80.28169014084504,1.0583167843137256,1.046696525964232,1.061814633685524,1.064748,1.043530085381156,-159.19256462387096,-40.42553191489369,-0.006721892127991014,-0.6374451972126638,-1.0768057937869133,28.168833396619657,32.45687666626169
1987-08-07,1.0364,1.0389,1.0349,1.0364,801,29.160504832450243,-88.26291079812225,1.0572050980392156,1.0451954807153632,1.060817981384131,1.06402,1.0417513987249656,-130.40322580645068,-38.96457765667598,-0.007132036530188568,-0.6772009527614936,-1.2858367463568023,29.701965170320612,28.54955933243724
1987-08-10,1.0319,1.0326,1.0308,1.032,351,26.34938597721569,-95.08196721311438,1.0559494117647057,1.0434910036630038,1.0596878644671062,1.06334,1.0396397182949209,-138.00259403372308,-43.7185929648242,-0.007723095118461254,-0.7344163590229045,-2.077996014802166,31.458882393783373,30.384618290992265
1987-08-11,1.0309,1.0318,1.0306,1.031,231,25.742008605566852,-98.37398373983757,1.0546811764705881,1.0416517879767293,1.0585628501742783,1.06232,1.0376064802383964,-114.49765258216007,-46.898263027296146,-0.00817793480877782,-0.7787985465824279,-2.2656175940847505,33.106115449140695,24.476322398765262
1987-08-12,1.0323,1.0333,1.0305,1.0322,551,27.890081633450563,-93.11740890688243,1.0535,1.0398074761904763,1.0575290129125419,1.06131,1.0358958633821813,-91.1242603550295,-57.866666666667356,-0.008345368357501215,-0.7957466682931793,-2.096177558569668,34.220191595340836,29.43986753634789
1987-08-13,1.0356,1.0365,1.034,1.0357,491,33.89632506325614,-78.9473684210522,1.0524956862745098,1.0381279323421675,1.0566729731904814,1.06051,1.0347443514127306,-57.28866858543724,-47.99999999999993,-0.008102242296158968,-0.7732767239695805,-1.624240121580537,34.409174478307385,33.70257789021953
1987-08-14,1.0391,1.0425,1.0329,1.0395,1881,39.76274729785793,-61.86440677966062,1.0516717647058824,1.0367198211592328,1.055999523261443,1.059734,1.0341435980289337,-28.35889456916094,-34.25925925925916,-0.007516291766091365,-0.717773879814734,-1.2726754677557086,33.23087471242032,51.9443157242048
1987-08-17,1.042,1.0423,1.0417,1.0423,91,43.725683329405754,-50.0,1.0509880784313725,1.03565713940961,1.055462287055112,1.058938,1.0339383177066,13.061432577110343,-23.59550561797755,-0.0067481961454847195,-0.6446459586815987,-1.0443368461027152,32.136739215525175,52.917270741577006
1987-08-18,1.0586,1.0602,1.0548,1.0584,1061,60.01496450062196,-6.060606060606129,1.050966980392157,1.0353691135531133,1.0555774914843234,1.058292,1.0356019388681474,155.48142146817537,9.090909090909225,-0.004785178822838576,-0.4567468919724398,0.5510165304959175,31.289985843709278,59.74268176997771
1987-08-19,1.0617,1.0622,1.0598,1.0617,481,62.41635783790179,-1.57728706624588,1.0511006274509802,1.03582150140056,1.0558175898574873,1.05772,1.037541737796572,164.53442458180814,13.249211356467189,-0.002929422472357057,-0.27933715002695425,1.1528201219512193,30.717328929070124,60.249740581577164
1987-08-20,1.0689,1.0699,1.066,1.069,771,67.120539663541,-2.284263959391169,1.0515429803921568,1.0370751191553544,1.0563345471179781,1.057298,1.0401864238651752,180.12227999229788,23.42857142857144,-0.0008597623975084012,-0.08186589469149647,3.205251979146543,30.923282502952453,66.96981863433498
1987-08-21,1.0741,1.0756000000000001,1.0705,1.0742,1011,70.00097144132417,-3.1042128603105623,1.0522058039215685,1.0390914361129067,1.0570351531133515,1.05717,1.0432414358481459,163.18416556278603,34.07202216066474,0.0011863788280568333,0.11277521407724203,3.189241114313172,31.574144425533415,74.05383114481194
